triangle_index,node_1,node_2,node_3
0,0,11,37
1,0,11,267
2,0,37,164
3,0,164,267
4,1,4,44
5,1,4,274
6,1,19,44
7,1,19,274
8,2,94,141
9,2,94,370
10,2,97,141
11,2,97,167
12,2,164,167
13,2,164,393
14,2,326,370
15,2,326,393
16,3,51,195
17,3,51,236
18,3,195,197
19,3,196,197
20,3,196,236
21,4,5,51
22,4,5,281
23,4,44,45
24,4,45,51
25,4,274,275
26,4,275,281
27,5,51,195
28,5,195,281
29,6,122,168
30,6,122,196
31,6,168,351
32,6,196,197
33,6,197,419
34,6,351,419
35,7,25,33
36,7,25,110
37,7,110,163
38,8,9,55
39,8,9,285
40,8,55,193
41,8,168,193
42,8,168,417
43,8,285,417
44,9,55,107
45,9,107,108
46,9,108,151
47,9,151,337
48,9,285,336
49,9,336,337
50,10,109,151
51,10,151,338
52,11,12,72
53,11,12,302
54,11,37,72
55,11,267,302
56,12,13,38
57,12,13,268
58,12,38,72
59,12,268,302
60,13,38,82
61,13,268,312
62,14,15,86
63,14,15,316
64,14,86,87
65,14,316,317
66,15,16,85
67,15,16,315
68,15,85,86
69,15,315,316
70,16,17,85
71,16,17,315
72,17,18,83
73,17,18,313
74,17,83,84
75,17,84,85
76,17,313,314
77,17,314,315
78,18,83,201
79,18,200,201
80,18,200,421
81,18,313,421
82,19,44,125
83,19,94,141
84,19,94,370
85,19,125,141
86,19,274,354
87,19,354,370
88,20,60,99
89,20,60,166
90,20,79,166
91,20,79,238
92,20,99,242
93,20,238,242
94,21,54,68
95,21,68,71
96,21,71,162
97,22,23,145
98,22,23,230
99,22,26,154
100,22,26,231
101,22,145,153
102,22,153,154
103,22,230,231
104,23,24,144
105,23,24,229
106,23,144,145
107,23,229,230
108,24,110,144
109,24,110,228
110,24,228,229
111,25,31,226
112,25,31,228
113,25,33,130
114,25,110,228
115,25,130,226
116,26,112,155
117,26,112,232
118,26,154,155
119,26,231,232
120,27,28,159
121,27,28,222
122,27,29,160
123,27,29,223
124,27,159,160
125,27,222,223
126,28,56,157
127,28,56,221
128,28,157,158
129,28,158,159
130,28,221,222
131,29,30,160
132,29,30,224
133,29,223,224
134,30,160,161
135,30,161,247
136,30,224,225
137,30,225,247
138,31,111,117
139,31,111,226
140,31,117,228
141,32,140,171
142,32,140,211
143,32,171,208
144,32,194,201
145,32,194,211
146,32,201,208
147,33,130,247
148,33,246,247
149,34,127,139
150,34,127,234
151,34,139,156
152,34,143,156
153,34,143,227
154,34,227,234
155,35,111,143
156,35,111,226
157,35,113,124
158,35,113,226
159,35,124,143
160,36,100,101
161,36,100,142
162,36,101,205
163,36,142,203
164,36,203,206
165,36,205,206
166,37,39,72
167,37,39,167
168,37,164,167
169,38,41,72
170,38,41,81
171,38,81,82
172,39,40,73
173,39,40,92
174,39,72,73
175,39,92,165
176,39,165,167
177,40,73,74
178,40,74,185
179,40,92,186
180,40,185,186
181,41,42,74
182,41,42,81
183,41,72,73
184,41,73,74
185,42,74,184
186,42,80,81
187,42,80,183
188,42,183,184
189,43,57,61
190,43,57,202
191,43,61,146
192,43,91,106
193,43,91,146
194,43,106,204
195,43,202,204
196,44,45,220
197,44,125,237
198,44,220,237
199,45,51,134
200,45,134,220
201,46,53,63
202,46,53,225
203,46,63,70
204,46,70,156
205,46,113,124
206,46,113,225
207,46,124,156
208,47,100,121
209,47,100,126
210,47,114,128
211,47,114,217
212,47,121,128
213,47,126,217
214,48,49,64
215,48,49,131
216,48,64,235
217,48,115,131
218,48,115,219
219,48,219,235
220,49,64,102
221,49,64,129
222,49,102,129
223,49,129,209
224,49,131,209
225,50,101,118
226,50,101,205
227,50,117,118
228,50,117,123
229,50,123,187
230,50,187,205
231,51,134,236
232,52,53,63
233,52,53,223
234,52,63,105
235,52,65,66
236,52,65,222
237,52,66,105
238,52,222,223
239,53,223,224
240,53,224,225
241,54,68,104
242,54,103,104
243,55,65,107
244,55,65,221
245,55,189,193
246,55,189,221
247,56,157,173
248,56,173,190
249,56,190,221
250,57,61,185
251,57,185,186
252,57,186,212
253,57,202,212
254,58,132,177
255,58,172,215
256,58,177,215
257,59,75,166
258,59,75,235
259,59,166,219
260,59,219,235
261,60,75,166
262,60,75,240
263,60,99,240
264,61,76,146
265,61,76,184
266,61,184,185
267,62,76,77
268,62,76,183
269,62,77,96
270,62,78,96
271,62,78,191
272,62,183,191
273,63,68,71
274,63,68,104
275,63,70,71
276,63,104,105
277,64,98,129
278,64,98,240
279,64,102,129
280,64,235,240
281,65,66,107
282,65,221,222
283,66,69,105
284,66,69,107
285,67,69,104
286,67,69,108
287,67,103,104
288,67,108,109
289,69,104,105
290,69,107,108
291,70,71,139
292,70,139,156
293,71,139,162
294,74,184,185
295,75,235,240
296,76,77,146
297,76,183,184
298,77,90,91
299,77,90,96
300,77,91,146
301,78,95,96
302,79,166,218
303,79,218,237
304,79,237,239
305,79,238,239
306,80,183,191
307,83,84,181
308,83,181,182
309,83,182,201
310,84,85,180
311,84,180,181
312,85,86,179
313,85,179,180
314,86,87,178
315,86,178,179
316,88,89,96
317,88,89,179
318,88,95,96
319,88,178,179
320,89,90,96
321,89,90,180
322,89,179,180
323,90,91,181
324,90,180,181
325,91,106,182
326,91,181,182
327,92,165,206
328,92,186,216
329,92,206,216
330,93,132,137
331,93,137,227
332,93,227,234
333,97,98,99
334,97,98,165
335,97,99,242
336,97,141,242
337,97,165,167
338,98,99,240
339,98,129,203
340,98,165,203
341,100,101,120
342,100,120,121
343,100,126,142
344,101,118,119
345,101,119,120
346,106,182,194
347,106,194,204
348,108,109,151
349,110,144,163
350,111,116,123
351,111,116,143
352,111,117,123
353,112,133,155
354,112,133,243
355,112,232,233
356,112,233,244
357,112,243,244
358,113,225,247
359,113,226,247
360,114,128,188
361,114,174,188
362,114,174,217
363,115,131,220
364,115,218,219
365,115,218,220
366,116,123,137
367,116,137,227
368,116,143,227
369,117,118,229
370,117,228,229
371,118,119,230
372,118,229,230
373,119,120,230
374,120,121,232
375,120,230,231
376,120,231,232
377,121,128,232
378,122,168,193
379,122,188,196
380,122,188,245
381,122,193,245
382,123,137,177
383,123,147,177
384,123,147,187
385,124,143,156
386,125,141,241
387,125,237,241
388,126,129,142
389,126,129,209
390,126,209,217
391,127,139,162
392,128,188,245
393,128,232,233
394,128,233,245
395,129,142,203
396,130,226,247
397,131,134,198
398,131,134,220
399,131,198,209
400,132,137,177
401,133,173,190
402,133,190,243
403,134,198,236
404,135,136,138
405,135,136,150
406,135,138,192
407,135,150,169
408,135,169,214
409,135,192,214
410,136,138,172
411,138,172,215
412,138,192,213
413,138,213,215
414,140,148,171
415,140,148,176
416,140,170,176
417,140,170,211
418,141,241,242
419,147,177,215
420,147,187,213
421,147,213,215
422,148,152,175
423,148,171,175
424,149,150,170
425,149,170,176
426,150,169,170
427,151,337,338
428,152,175,377
429,161,246,247
430,164,267,393
431,165,203,206
432,166,218,219
433,168,351,417
434,169,170,211
435,169,210,211
436,169,210,214
437,171,175,199
438,171,199,208
439,174,188,196
440,174,196,236
441,174,217,236
442,175,199,396
443,175,377,396
444,182,194,201
445,186,212,216
446,187,192,213
447,187,192,214
448,187,205,207
449,187,207,214
450,189,190,221
451,189,190,243
452,189,193,244
453,189,243,244
454,193,244,245
455,194,204,211
456,195,197,248
457,195,248,281
458,197,248,419
459,198,209,217
460,198,217,236
461,199,200,208
462,199,200,428
463,199,396,428
464,200,201,208
465,200,421,428
466,202,204,210
467,202,210,214
468,202,212,214
469,204,210,211
470,205,206,216
471,205,207,216
472,207,212,214
473,207,212,216
474,218,220,237
475,233,244,245
476,237,239,241
477,238,239,241
478,238,241,242
479,248,281,456
480,248,419,456
481,249,255,263
482,249,255,339
483,249,339,390
484,250,290,328
485,250,290,392
486,250,309,392
487,250,309,459
488,250,328,462
489,250,458,459
490,250,458,462
491,251,284,298
492,251,298,301
493,251,301,389
494,252,253,374
495,252,253,450
496,252,256,381
497,252,256,451
498,252,374,380
499,252,380,381
500,252,450,451
501,253,254,373
502,253,254,449
503,253,373,374
504,253,449,450
505,254,339,373
506,254,339,448
507,254,448,449
508,255,261,446
509,255,261,448
510,255,263,359
511,255,339,448
512,255,359,446
513,256,341,382
514,256,341,452
515,256,381,382
516,256,451,452
517,257,258,386
518,257,258,442
519,257,259,387
520,257,259,443
521,257,386,387
522,257,442,443
523,258,286,384
524,258,286,441
525,258,384,385
526,258,385,386
527,258,441,442
528,259,260,387
529,259,260,444
530,259,443,444
531,260,387,388
532,260,388,466
533,260,444,445
534,260,445,467
535,260,466,467
536,261,340,346
537,261,340,446
538,261,346,448
539,262,369,396
540,262,369,431
541,262,396,428
542,262,418,421
543,262,418,431
544,262,421,428
545,263,359,467
546,263,466,467
547,264,356,368
548,264,356,454
549,264,368,383
550,264,372,383
551,264,372,447
552,264,447,454
553,265,340,372
554,265,340,446
555,265,342,353
556,265,342,446
557,265,353,372
558,266,329,330
559,266,329,371
560,266,330,425
561,266,371,423
562,266,423,426
563,266,425,426
564,267,269,302
565,267,269,393
566,268,271,302
567,268,271,311
568,268,311,312
569,269,270,303
570,269,270,322
571,269,302,303
572,269,322,391
573,269,391,393
574,270,303,304
575,270,304,409
576,270,322,410
577,270,409,410
578,271,272,304
579,271,272,311
580,271,302,303
581,271,303,304
582,272,304,408
583,272,310,311
584,272,310,407
585,272,407,408
586,273,287,291
587,273,287,422
588,273,291,375
589,273,321,335
590,273,321,375
591,273,335,424
592,273,422,424
593,274,275,440
594,274,354,457
595,274,440,457
596,275,281,363
597,275,363,440
598,276,283,293
599,276,283,445
600,276,293,300
601,276,300,383
602,276,342,353
603,276,342,445
604,276,353,383
605,277,329,350
606,277,329,355
607,277,343,357
608,277,343,437
609,277,350,357
610,277,355,437
611,278,279,294
612,278,279,360
613,278,294,455
614,278,344,360
615,278,344,439
616,278,439,455
617,279,294,331
618,279,294,358
619,279,331,358
620,279,358,429
621,279,360,429
622,280,330,347
623,280,330,425
624,280,346,347
625,280,346,352
626,280,352,411
627,280,411,425
628,281,363,456
629,282,283,293
630,282,283,443
631,282,293,334
632,282,295,296
633,282,295,442
634,282,296,334
635,282,442,443
636,283,443,444
637,283,444,445
638,284,298,333
639,284,332,333
640,285,295,336
641,285,295,441
642,285,413,417
643,285,413,441
644,286,384,398
645,286,398,414
646,286,414,441
647,287,291,409
648,287,409,410
649,287,410,432
650,287,422,432
651,288,361,401
652,288,397,435
653,288,401,435
654,289,290,305
655,289,290,392
656,289,305,455
657,289,392,439
658,289,439,455
659,290,305,460
660,290,328,460
661,291,306,375
662,291,306,408
663,291,408,409
664,292,306,307
665,292,306,407
666,292,307,325
667,292,308,325
668,292,308,415
669,292,407,415
670,293,298,301
671,293,298,333
672,293,300,301
673,293,333,334
674,294,327,358
675,294,327,460
676,294,331,358
677,294,455,460
678,295,296,336
679,295,441,442
680,296,299,334
681,296,299,336
682,297,299,333
683,297,299,337
684,297,332,333
685,297,337,338
686,299,333,334
687,299,336,337
688,300,301,368
689,300,368,383
690,301,368,389
691,304,408,409
692,305,455,460
693,306,307,375
694,306,407,408
695,307,320,321
696,307,320,325
697,307,321,375
698,308,324,325
699,309,392,438
700,309,438,457
701,309,457,459
702,310,407,415
703,313,314,405
704,313,405,406
705,313,406,421
706,314,315,404
707,314,404,405
708,315,316,403
709,315,403,404
710,316,317,402
711,316,402,403
712,318,319,325
713,318,319,403
714,318,324,325
715,318,402,403
716,319,320,325
717,319,320,404
718,319,403,404
719,320,321,405
720,320,404,405
721,321,335,406
722,321,405,406
723,322,391,426
724,322,410,436
725,322,426,436
726,323,361,366
727,323,366,447
728,323,447,454
729,326,327,328
730,326,327,391
731,326,328,462
732,326,370,462
733,326,391,393
734,327,328,460
735,327,358,423
736,327,391,423
737,329,330,349
738,329,349,350
739,329,355,371
740,330,347,348
741,330,348,349
742,335,406,418
743,335,418,424
744,339,373,390
745,340,345,352
746,340,345,372
747,340,346,352
748,341,362,382
749,341,362,463
750,341,452,453
751,341,453,464
752,341,463,464
753,342,445,467
754,342,446,467
755,343,357,412
756,343,399,412
757,343,399,437
758,344,360,440
759,344,438,439
760,344,438,440
761,345,352,366
762,345,366,447
763,345,372,447
764,346,347,449
765,346,448,449
766,347,348,450
767,347,449,450
768,348,349,450
769,349,350,452
770,349,450,451
771,349,451,452
772,350,357,452
773,351,412,419
774,351,412,465
775,351,417,465
776,352,366,401
777,352,376,401
778,352,376,411
779,353,372,383
780,354,370,461
781,354,457,461
782,355,358,371
783,355,358,429
784,355,429,437
785,356,368,389
786,357,412,465
787,357,452,453
788,357,453,465
789,358,371,423
790,359,446,467
791,360,363,420
792,360,363,440
793,360,420,429
794,361,366,401
795,362,398,414
796,362,414,463
797,363,420,456
798,364,365,367
799,364,365,379
800,364,367,416
801,364,379,394
802,364,394,434
803,364,416,434
804,365,367,397
805,367,397,435
806,367,416,433
807,367,433,435
808,369,377,396
809,369,377,400
810,369,395,400
811,369,395,431
812,370,461,462
813,376,401,435
814,376,411,433
815,376,433,435
816,378,379,395
817,378,395,400
818,379,394,395
819,391,423,426
820,392,438,439
821,394,395,431
822,394,430,431
823,394,430,434
824,399,412,419
825,399,419,456
826,399,437,456
827,406,418,421
828,410,432,436
829,411,416,433
830,411,416,434
831,411,425,427
832,411,427,434
833,413,414,441
834,413,414,463
835,413,417,464
836,413,463,464
837,417,464,465
838,418,424,431
839,420,429,437
840,420,437,456
841,422,424,430
842,422,430,434
843,422,432,434
844,424,430,431
845,425,426,436
846,425,427,436
847,427,432,434
848,427,432,436
849,438,440,457
850,453,464,465
851,457,459,461
852,458,459,461
853,458,461,462
